 Mass = 0 
 8.38e+21 6.9931665551e-22 5.57e+21 5.86e+00 
 1.29e+22 5.7928384151e-22 1.08e+21 7.48e+00 
 1.12e+22 5.1898924824e-22 -3.95e+21 5.80e+00 
 3.95e+21 4.0206316798e-22 -7.08e+21 1.59e+00 
 -5.24e+21 1.2049062253e-22 -6.79e+21 -6.31e-01 
 -1.19e+22 -2.3016045279e-23 -3.20e+21 2.74e-01 
 -1.28e+22 -1.9456430532e-22 1.92e+21 2.49e+00 
 -7.41e+21 -3.6456708604e-22 6.08e+21 2.70e+00 
 1.62e+21 -4.9449560006e-22 7.23e+21 -7.99e-01 
 9.86e+21 -5.8338498646e-22 4.82e+21 -5.75e+00 
 1.33e+22 -7.3564154155e-22 1.95e+19 -9.75e+00 
 1.01e+22 -7.1248169213e-22 -4.81e+21 -7.20e+00 
 1.95e+21 -7.4670542864e-22 -7.29e+21 -1.45e+00 
 -7.21e+21 -6.8282003444e-22 -6.19e+21 4.92e+00 
 -1.28e+22 -5.6092604548e-22 -2.06e+21 7.21e+00 
 -1.22e+22 -5.1835282803e-22 3.08e+21 6.30e+00 
 -5.45e+21 -3.3464551565e-22 6.66e+21 1.82e+00 
 3.97e+21 -1.6540865608e-22 6.92e+21 -6.56e-01 
 1.14e+22 5.7581192767e-23 3.72e+21 6.58e-01 
 1.32e+22 1.8401706039e-22 -1.35e+21 2.43e+00 
 8.39e+21 3.9426214726e-22 -5.76e+21 3.31e+00 
 -6.68e+20 4.9044227822e-22 -7.31e+21 -3.27e-01 
 -9.45e+21 6.6117183071e-22 -5.22e+21 -6.25e+00 
 -1.35e+22 7.1012617784e-22 -5.43e+20 -9.61e+00 
 -1.08e+22 7.6849199325e-22 4.39e+21 -8.34e+00 
 -2.71e+21 6.7014325742e-22 7.09e+21 -1.81e+00 
 6.81e+21 6.9948508407e-22 6.21e+21 4.76e+00 
 1.29e+22 6.3389124511e-22 2.19e+21 8.18e+00 
 1.25e+22 5.1308016971e-22 -2.96e+21 6.40e+00 
 5.72e+21 2.5928848146e-22 -6.63e+21 1.48e+00 
 -3.97e+21 7.2975539624e-23 -6.96e+21 -2.89e-01 
 -1.17e+22 -1.1453957995e-22 -3.79e+21 1.34e+00 
 -1.35e+22 -2.6880565746e-22 1.29e+21 3.63e+00 
 -8.49e+21 -4.4082926956e-22 5.69e+21 3.74e+00 
 8.48e+20 -5.1611703774e-22 7.18e+21 -4.38e-01 
 9.78e+21 -6.7341555454e-22 4.99e+21 -6.58e+00 
 1.37e+22 -7.1854930047e-22 2.45e+20 -9.86e+00 
 1.07e+22 -7.8121507786e-22 -4.64e+21 -8.32e+00 
 2.08e+21 -7.2659221404e-22 -7.16e+21 -1.51e+00 
 -7.61e+21 -6.4051283778e-22 -6.02e+21 4.88e+00 
 -1.35e+22 -5.3280684545e-22 -1.82e+21 7.17e+00 
 -1.24e+22 -3.8030170886e-22 3.30e+21 4.71e+00 
 -4.94e+21 -2.4569992799e-22 6.70e+21 1.21e+00 
 5.07e+21 2.2434965924e-24 6.63e+21 1.14e-02 
 1.25e+22 1.5109250876e-22 3.12e+21 1.88e+00 
 1.34e+22 2.8611940256e-22 -2.02e+21 3.84e+00 
 7.38e+21 4.2780207024e-22 -6.12e+21 3.16e+00 
 -2.52e+21 6.4874937445e-22 -7.06e+21 -1.64e+00 
 -1.12e+22 7.2412785645e-22 -4.34e+21 -8.08e+00 
 -1.40e+22 7.3621366275e-22 6.16e+20 -1.03e+01 
 -9.61e+21 8.3405126545e-22 5.24e+21 -8.02e+00 
 -1.77e+20 7.5246819526e-22 7.10e+21 -1.33e-01 
 9.37e+21 5.7232041379e-22 5.24e+21 5.36e+00 
 1.40e+22 4.5324373367e-22 6.25e+20 6.36e+00 
 1.13e+22 2.8660995811e-22 -4.33e+21 3.25e+00 
 2.63e+21 1.5796123742e-22 -7.01e+21 4.15e-01 
 -7.52e+21 -1.0128924425e-22 -6.02e+21 7.62e-01 
 -1.38e+22 -3.1315265747e-22 -1.88e+21 4.31e+00 
 -1.27e+22 -4.1009609126e-22 3.24e+21 5.23e+00 
 -4.99e+21 -5.6093773564e-22 6.63e+21 2.80e+00 
 5.42e+21 -6.7731848890e-22 6.49e+21 -3.67e+00 
 1.30e+22 -7.5360816087e-22 2.90e+21 -9.77e+00 
 1.36e+22 -7.6765921674e-22 -2.23e+21 -1.05e+01 
 7.00e+21 -7.3671785138e-22 -6.19e+21 -5.16e+00 
 -3.40e+21 -6.3283685916e-22 -6.86e+21 2.15e+00 
 -1.20e+22 -5.1180560690e-22 -3.88e+21 6.16e+00 
 -1.43e+22 -3.5821923951e-22 1.16e+21 5.11e+00 
 -8.90e+21 -1.6307752889e-22 5.56e+21 1.45e+00 
 1.25e+21 7.2669897410e-24 6.96e+21 9.10e-03 
 1.08e+22 1.3998675593e-22 4.62e+21 1.51e+00 
 1.45e+22 3.5983221730e-22 -2.20e+20 5.22e+00 
 1.04e+22 5.3396186700e-22 -4.94e+21 5.56e+00 
 6.55e+20 6.9267428875e-22 -7.00e+21 4.53e-01 
 -9.52e+21 7.7297769900e-22 -5.28e+21 -7.36e+00 
 -1.46e+22 7.7154227231e-22 -7.24e+20 -1.13e+01 
 -1.18e+22 7.8680359099e-22 4.21e+21 -9.26e+00 
 -2.53e+21 6.6150411842e-22 6.84e+21 -1.67e+00 
 8.10e+21 5.9411943641e-22 5.74e+21 4.81e+00 
 1.43e+22 3.9635790418e-22 1.50e+21 5.68e+00 
 1.27e+22 1.9664265299e-22 -3.56e+21 2.50e+00 
 4.12e+21 -1.8495585730e-23 -6.68e+21 -7.61e-02 
 -6.78e+21 -1.9840857028e-22 -6.15e+21 1.35e+00 
 -1.40e+22 -3.3074511827e-22 -2.26e+21 4.64e+00 
 -1.36e+22 -5.0847108472e-22 2.86e+21 6.91e+00 
 -5.69e+21 -6.5694383995e-22 6.39e+21 3.74e+00 
 5.37e+21 -8.2797253892e-22 6.38e+21 -4.44e+00 
 1.35e+22 -7.7932275839e-22 2.84e+21 -1.05e+01 
 1.42e+22 -7.5089963767e-22 -2.27e+21 -1.06e+01 
 6.95e+21 -6.7103195025e-22 -6.12e+21 -4.66e+00 
 -4.18e+21 -5.4715538870e-22 -6.58e+21 2.29e+00 
 -1.31e+22 -3.6163404474e-22 -3.39e+21 4.72e+00 
 -1.47e+22 -1.9032823865e-22 1.66e+21 2.80e+00 
 -8.13e+21 -4.8158319947e-23 5.77e+21 3.92e-01 
 3.00e+21 1.1152210943e-22 6.64e+21 3.35e-01 
 1.25e+22 3.8692192935e-22 3.79e+21 4.83e+00 
 1.50e+22 5.0559878958e-22 -1.19e+21 7.56e+00 
 9.00e+21 7.0269972032e-22 -5.50e+21 6.33e+00 
 -2.06e+21 7.7335406158e-22 -6.72e+21 -1.59e+00 
 -1.20e+22 7.3710736419e-22 -4.16e+21 -8.86e+00 
 -1.52e+22 7.6532333465e-22 7.40e+20 -1.17e+01 
 -9.87e+21 7.3088820545e-22 5.20e+21 -7.22e+00 
 1.10e+21 5.5457535785e-22 6.70e+21 6.10e-01 
 1.15e+22 4.3158483659e-22 4.39e+21 4.96e+00 
 1.54e+22 1.8623442882e-22 -4.18e+20 2.86e+00 
 1.05e+22 -3.3942770725e-23 -4.98e+21 -3.55e-01 
 -4.54e+20 -1.9062678317e-22 -6.70e+21 8.66e-02 
 -1.12e+22 -3.9215126827e-22 -4.60e+21 4.39e+00 
 -1.56e+22 -6.0693146998e-22 1.21e+20 9.46e+00 
 -1.10e+22 -6.8434333796e-22 4.75e+21 7.55e+00 
 -1.19e+20 -8.2827573925e-22 6.64e+21 9.89e-02 
 1.09e+22 -7.9047905994e-22 4.70e+21 -8.61e+00 
 1.56e+22 -8.1642478810e-22 5.23e+19 -1.28e+01 
 1.13e+22 -6.4168100788e-22 -4.62e+21 -7.26e+00 
 4.04e+20 -5.3400366407e-22 -6.62e+21 -2.16e-01 
 -1.08e+22 -2.9181600626e-22 -4.78e+21 3.15e+00 
 -1.58e+22 -8.6959487004e-23 -1.81e+20 1.37e+00 
 -1.16e+22 1.1569544422e-22 4.51e+21 -1.35e+00 
 -6.76e+20 3.3464308646e-22 6.55e+21 -2.26e-01 
 1.07e+22 4.6688467636e-22 4.76e+21 5.00e+00 
 1.59e+22 5.7769433063e-22 1.88e+20 9.16e+00 
 1.17e+22 6.3353193992e-22 -4.49e+21 7.42e+00 
 6.14e+20 7.6474359973e-22 -6.52e+21 4.70e-01 
 -1.09e+22 7.3709085543e-22 -4.72e+21 -8.05e+00 
 -1.61e+22 7.4923866684e-22 -1.55e+20 -1.20e+01 
 -1.18e+22 6.3716799501e-22 4.48e+21 -7.49e+00 
 -4.44e+20 4.9818540239e-22 6.45e+21 -2.21e-01 
 1.12e+22 3.1335953819e-22 4.60e+21 3.50e+00 
 1.61e+22 1.1432304678e-22 1.62e+19 1.85e+00 
 1.15e+22 -1.5717301139e-22 -4.57e+21 -1.81e+00 
 -4.75e+19 -3.9429185229e-22 -6.43e+21 1.87e-02 
 -1.16e+22 -5.5422578198e-22 -4.45e+21 6.45e+00 
 -1.63e+22 -6.9644533313e-22 1.77e+20 1.14e+01 
 -1.13e+22 -8.7042769777e-22 4.68e+21 9.80e+00 
 5.81e+20 -8.5637280459e-22 6.35e+21 -4.98e-01 
 1.21e+22 -8.6118618131e-22 4.20e+21 -1.04e+01 
 1.64e+22 -7.3697283929e-22 -4.74e+20 -1.21e+01 
 1.07e+22 -4.8862420931e-22 -4.84e+21 -5.25e+00 
 -1.49e+21 -2.6208573072e-22 -6.27e+21 3.90e-01 
 -1.29e+22 -7.8021383545e-23 -3.90e+21 1.01e+00 
 -1.65e+22 1.8647005831e-22 8.19e+20 -3.08e+00 
 -1.01e+22 4.0513669748e-22 5.02e+21 -4.09e+00 
 2.53e+21 5.1822748250e-22 6.15e+21 1.31e+00 
 1.36e+22 5.9234965445e-22 3.52e+21 8.08e+00 
 1.64e+22 6.7003382055e-22 -1.25e+21 1.10e+01 
 9.08e+21 7.4066798899e-22 -5.25e+21 6.73e+00 
